Line#:, First Frame, Second Frame, Tile 1 Avg, Tile 2 Avg, Tile 3 Avg, Tile 4 Avg, Tile 5 Avg, Tile 6 Avg, Tile 7 Avg, Tile 8 Avg, Tile 9 Avg, MinValTile, MinValTile Idx
12, '11162', '11167', 0.23608202662416122, 4.823086624936877, 0.00194045801943378, 9.124759431564655, 46.65205810513021, 0.7316846292585666, 0.0006523245114105382, 0.0027721665608609336, 11.515828295105393, 0.0006523245114105382, 6
13, '11163', '11168', 1.8743443236012922, 60.67426364554649, 17.832138644481347, 26.114781735034057, 25.468535972088148, 22.132192006331252, 0.00031061883840168003, 0.9459036550971547, 0.0006946158832648076, 0.00031061883840168003, 6
14, '11164', '11169', 1.8006331993729532, 60.83992858888814, 16.454298279758405, 26.808093826338336, 79.43743990947496, 19.634451862370042, 0.0002675877363066438, 0.14764919629648432, 11.916576572924043, 0.0002675877363066438, 6
15, '11165', '11170', 1.5228344746629006, 38.788342413028886, 6.23168977036363, 18.41393638246609, 93.37788390018977, 6.301573374478039, 9.493594720090537e-05, 1.627825005017769, 4.21971288093323, 9.493594720090537e-05, 6
16, '11166', '11171', 2.0544764080231204, 47.50559551591232, 11.215016768931548, 20.986608157693126, 81.61340440210552, 5.884848444334295, 8.365545371425646e-05, 8.497757148395578, 0.6435008682310581, 8.365545371425646e-05, 6
17, '11167', '11172', 2.096118743254479, 38.58396648461712, 5.19467474142607, 21.147594782869646, 46.03319470089991, 12.197689944967408, 6.501648473954211e-05, 0.8982047026006654, 0.21201996009621382, 6.501648473954211e-05, 6
18, '11168', '11173', 1.1278992753659622, 11.404266505365968, 4.539732598364935, 7.814268622392376, 8.742326359738911, 1.951815717177908, 2.0393624477727836e-05, 10.721909239302704, 97.60420759639601, 2.0393624477727836e-05, 6
19, '11169', '11174', 0.7680237724366954, 58.58235533701759, 0.11291574459948439, 5.48566426198073, 32.919324289695396, 2.884527401159076, 8.02475405112268e-06, 26.545186781823077, 2.897627072040919, 8.02475405112268e-06, 6
20, '11170', '11175', 1.1729567896967552, 77.73164247699606, 0.7956535077784253, 5.896934534321417, 23.557414689387087, 4.421422467876482, 4.876159802394474e-06, 0.28583650312473097, 29.76251804293497, 4.876159802394474e-06, 6
21, '11171', '11176', 0.3292277294486077, 35.91068283363916, 24.330298358472646, 1.607297427741642, 30.33279974995844, 41.596346567735054, 2.232729067808778e-07, 21.374374496974497, 23.69257314691845, 2.232729067808778e-07, 6
22, '11172', '11177', 0.20645162924290972, 30.66779739325648, 17.304979839540465, 1.1870342994677827, 20.820735858478884, 39.08447336129848, 9.97089969459499e-07, 18.25762640380185, 21.191284901029576, 9.97089969459499e-07, 6
